LINC00937,-0.04577303367087263
DCDC2B,-0.04501059510030087
DBIL5P,-0.04360396922034441
DLEU2L,-0.04333489980079446
RHOF,-0.042935077876724854
LINC00205,-0.042578641834197
RP11-689P11.2,-0.04239571784156576
CTB-129O4.1,-0.04239150282980147
RP11-111M22.4,-0.04208793503356706
PRC1-AS1,-0.04206829256108083
KB-1269D1.8,-0.041390582336894625
RP11-290F24.6,-0.04136317468700454
GS1-358P8.4,-0.04113838671824581
RP11-520H14.7,-0.04104139443821245
RP11-257O5.2,-0.04041748691967057
GHc-857G6.7,-0.040349284699514126
RP3-522J7.7,-0.04028433530161084
CCDC188,-0.04021687347499104
CFAP44,-0.040002245220301796
RP4-740C4.7,-0.039967143020747956
RP11-504P24.3,-0.039823415441917434
RP11-80P20.3,-0.03981898171218924
ZNF37BP,-0.03979941646750948
RP3-388E23.2,-0.03975533790705239
RP11-893F2.18,-0.03956039098408424
RP4-680D5.2,-0.039553995316726334
TAS2R4,-0.03952912843690418
RP11-517P14.7,-0.039341168431117325
FAM220CP,-0.039182188547753974
RP11-755F10.3,-0.03903956807548447
ENPP7P10,-0.03897937474854303
AF038458.3,-0.03884211171110899
RP11-214K3.21,-0.03871385538213281
AC087163.2,-0.03833374402187115
CES5AP1,-0.03832758181688273
SPIRE2,-0.03811724649508889
RP11-363N22.3,-0.03807671501641811
AC131263.1,-0.03805995915016247
RP11-359J14.2,-0.038025982756030446
ZRANB2-AS1,-0.03794952181863742
C11orf42,-0.037938481376969
RP11-352E6.2,0.03785189002412921
U3,-0.03765736243753051
LL22NC03-86G7.1,-0.03755528646609847
LINC00184,-0.037499596888431026
RP11-67L2.2,-0.03748331896764387
RP11-101E7.2,-0.037440068205458296
PP14571,-0.03736564678140544
RP1-168L15.5,-0.037363227811311704
OTUD3,-0.03735858400544405
EFCAB6-AS1,-0.0370131823077786
RP11-526D8.11,-0.03691760998052313
ZNF280B,-0.03687810783554779
ULK1,-0.03684902132205825
TMEM249,-0.03683646353507403
CTA-373H7.7,-0.03676356452730945
EPX,-0.036692511460359144
RP11-213G2.2,-0.03657944412964044
RP11-303E16.5,-0.036513455795971636
BX322557.10,-0.03635398546817994
TARBP1,-0.03617540634747892
RRN3P3,-0.03617471507056599
LA16c-380A1.1,-0.03611535052654241
CD164L2,-0.03595225113633965
MIR1180,-0.0359512761468961
RP1-63M2.7,-0.03587526393759442
RP11-210N13.1,-0.03581923073217926
GNRHR,-0.03567856987648772
GAS2L1P2,-0.03566480599287318
LA16c-361A3.3,-0.03559295028944079
RP11-230C9.4,-0.035588597896977985
HTT,-0.03558235650427791
TNFRSF25,-0.03554330436245655
MKNK1-AS1,-0.03553299098866852
RP11-111M22.5,-0.035525348221560324
USP27X,-0.035429490707262985
RP11-297D21.2,-0.035392641041205285
SOCS7,-0.035332742204559835
RP3-402G11.25,-0.035299400879134704
LINC00106,-0.035256054354389645
LSM11,-0.0352232178957838
RP11-258C19.7,-0.03514713796950357
OSBPL10-AS1,-0.03514138492082655
MIR1302-8,-0.035088426562439205
AC137932.4,-0.03506941042170216
MIR600HG,-0.03506523062722122
RP11-118K6.3,-0.035040533137750324
AC008079.10,-0.03496377782778916
CACNA1C-AS1,-0.03491549667185367
SUMO2P19,-0.03490921822958244
LL22NC03-80A10.11,-0.03490319557762001
RP11-166P13.4,-0.0349019253915602
RP1-283E3.8,-0.03475085492793246
RP11-386M24.6,-0.03473314462773071
PPP1R26-AS1,-0.03472375611908694
RP1-92O14.6,-0.03471694049498841
RP11-523J2.1,-0.03467271235153846
RP11-147L13.8,-0.0346277492697017
CH17-118O6.3,0.03462662809282484
HAMP,0.03460183838411887
RP11-379F4.8,-0.034535706969339934
C1orf220,-0.034499802239928636
DNAJB7,-0.03449729039627597
ASCL5,-0.03444581462363313
CNTFR-AS1,-0.03443179356207399
RP11-383B4.4,-0.0344224175664621
RP11-1072C15.6,-0.03440341973187595
RP11-401N16.2,-0.034362452351514236
TEX37,-0.034359392606979906
MROH7-TTC4,-0.034323156491092535
IL17REL,-0.0343071491377267
RP11-214K3.23,-0.03423382975719039
LINC00552,-0.03421543451260017
LINC00893,-0.03419337622666034
RN7SL268P,-0.03419253696419766
ZNF346-IT1,-0.034180175319455955
BCDIN3D-AS1,-0.034141933893608215
LDHAL6A,-0.03412691603203386
RP11-797H7.5,-0.03412218712279326
RP11-181B11.1,-0.03412019283156275
RP4-798P15.3,-0.034093765471827235
CTC-425O23.2,-0.034079286723198945
RP11-701H24.7,-0.03405365553401668
NEURL4,-0.033998481493740455
RP11-350J20.9,-0.033975484316696704
CCDC110,-0.033965193201257515
DNAJC9-AS1,-0.033954378977510975
RP11-1391J7.1,-0.03392021178846394
RP11-506H21.5,-0.03387911104535549
KNCN,-0.03386529232152277
SLC9A3,-0.03384390877150455
RP11-192H23.8,-0.03382970224341263
RP11-520B13.8,-0.033758145023135795
RP11-79C6.2,-0.03375380720062991
RP11-667M19.9,-0.03371855162388704
CCDC177,-0.03369180386863036
MIR760,-0.033665274960970826
CTD-2047H16.5,-0.0336637920783114
RP11-830F9.5,-0.03362169076357858
CTD-2292M16.8,-0.0335661211198108
RPL21P54,-0.033560708896896996
MSANTD1,-0.033556178394830063
CTC-529I10.1,-0.033548442172494364
CTD-2524L6.3,-0.03352487355825794
KIAA2012,-0.03349650730629597
TRPV1,-0.0334948177385384
TSC22D1-AS1,-0.033483714892104006
SFTPD-AS1,-0.03348235788793259
CTD-2184D3.7,-0.03346984122919152
RP11-317B7.2,-0.033426751705735856
