id	filename	md5	size	state
003e1656-b7f5-4046-ac10-c44871c0712d	bd4b6975-90d9-43f8-aadc-344d04644822.FPKM-UQ.txt.gz	dc3f39d7076185e31a396577375a9d21	558398	live
006e1522-cf0e-47e5-95e2-5e2de7c69033	f6a99d72-7ef2-4c9c-880c-a26bd5fef9c7.htseq.counts.gz	0de4a45204c7fa7386331765a3ef383a	253511	live
00dc5991-7b5d-40b5-a259-34f0685107f0	cd925805-378c-4070-a7f3-ba8084efd836.FPKM-UQ.txt.gz	60e0f6a978c1ae45a61b6bb55b1dbe32	520297	live
00e6f2b9-2075-4ed2-a071-0ff523007e70	c341aa36-a431-477a-9fae-4550c4eea047.htseq.counts.gz	85ddac7253dbac9d1945ce17a096ee8b	257656	live
010ab9a8-98d0-42cb-be35-d72f168fac2a	9c10ea63-f990-4c9b-9149-df9583e59610.FPKM-UQ.txt.gz	071fd5e0a3fe8e79876bd95052ebf951	539705	live
011c83b1-4a76-40d3-90ba-c416848e69c5	7f7121ff-1399-40da-a792-b7c31bc76570.FPKM.txt.gz	e7ba7562c11c808e8c611a82aef38fef	538322	live
01cb81a8-757b-49dd-b948-b378f970d1d4	06227615-f651-462b-948f-c305ba369efa.FPKM.txt.gz	7313c8e460d522a24504371111aa4d5f	508401	live
01daeea0-2a6d-450e-b541-5e403e998637	dfa2ddfb-c161-4c8c-a538-be6e00a8466e.htseq.counts.gz	752ac11e8a62edc6e5c949e20f61c9b2	259405	live
04977dd1-7846-40e4-97aa-8f4e276eba8b	742b41f9-faca-4bad-a2a5-5d40b8bf06ce.FPKM-UQ.txt.gz	804e61821962ae07939ae0aaee213508	531941	live
05730aa5-a492-4526-bdeb-0902250f9330	ab5f9e4e-ff6a-4353-83f4-5ffddca0050a.htseq.counts.gz	e34ead532e42025523a1946b54778a28	255340	live
05a38163-a505-4f97-b2a3-7430c49b14f4	f1f609a2-4fd6-48fc-8a29-3bc39c6ff178.htseq.counts.gz	547a98393dd416f1f4e4c90106a9ef1e	254179	live
068f339b-c56e-4816-bf51-b0ce181bd889	48a2e1f7-04c0-4013-83b6-fde730168435.FPKM-UQ.txt.gz	03001d6afb8987e1d32da03d2eeceda9	538020	live
06fedbce-d3ae-4677-a44a-beb6f42568e4	44067d6e-af12-4abf-8795-cb6749b1cc7a.htseq.counts.gz	ae17bbe85a001f8cbc3527d609de52fa	257303	live
0727d66b-5704-4e18-83ec-f40b7ad2966f	3d4081b3-24c9-4dbd-a5fe-0fb29ce43737.FPKM.txt.gz	2ad87b8e99b676fe4956d779119c7144	549643	live
07b21ab7-9c14-4bf2-b692-3449e7c8daf0	b004e38d-f48c-49f9-a027-4a702fbaf107.htseq.counts.gz	ddf94dcd2b37abefc36b5d42753bc3bd	245536	live
07da824e-7e01-4de4-b61a-bb3822d1c97f	3fca2c7c-2541-418d-8f45-2a48814ca574.FPKM.txt.gz	f7f223770e7319250fa7caad603649ce	537382	live
08ed9617-6ffd-4d49-8855-e8a1beeec62a	760c3a6c-809b-4d7e-9ec6-f5b713e8057d.FPKM-UQ.txt.gz	d86143e267e132b774fc6e7f683bd83e	543047	live
095da1b2-2be0-4902-a5cc-6a25f72f0547	3462c776-160b-4ffc-9be8-69b08abf9780.FPKM.txt.gz	3722a59d980da931eb3fcea93f61dd1e	553334	live
09b2efd3-27fd-4730-822e-0ae9f8597fbe	c3b82e75-c8c5-4dbb-b227-9b54db04b754.FPKM.txt.gz	5809edc3c5cf39601d59629aaa3b1c3f	540742	live
0ae35663-3494-45ed-bed8-4a33247bc1c8	bcdc68db-c874-4097-9c46-b06e331caaf5.FPKM.txt.gz	35efc10b6553ddb4645aaa76c1eed479	537687	live
0b2c1d8b-c524-4784-b240-2e7a0a84f68f	8223f42b-434d-4966-a123-3b8a947884bc.FPKM.txt.gz	483ca09a7532f764ddeb89cb30147576	526191	live
0b708aec-180c-461e-be13-bb93d68a1122	f67cf68d-56b3-451d-ba21-566664213691.FPKM.txt.gz	b8a806484bb974d32a8b649d7e19c3f6	531497	live
0c403fda-6913-4ea2-92d2-2c3d9ebe5bf9	f0f7d061-ace0-4dbd-90ec-df8f5985a7a2.htseq.counts.gz	852c386f4e7e46506a6cb22401f53fbf	255546	live
0caf4196-8f2a-4812-b485-b7651bc1cbf7	9c10ea63-f990-4c9b-9149-df9583e59610.htseq.counts.gz	e985ef5b39467e59457a7aab9672a585	254752	live
0cc1ef00-5867-4f3b-bd2f-813597fea5f8	38195109-056a-4a1f-997e-0f77e20b647b.FPKM-UQ.txt.gz	0348d01380b8e837fa0b0e3a79140767	524624	live
0de5cd30-c310-44ac-91ae-8858f3f3d9af	53d78258-1650-4793-a01d-d2c065215fb9.FPKM.txt.gz	925880a2ccad518f4fd429f6019b0124	514142	live
0e7591d7-6622-49ca-bb04-7d0a75f48ade	44ed61ae-e74e-40d7-98ce-7803e040567f.htseq.counts.gz	564cb3472aafa052e3d6c94533ff3abb	257426	live
106bc64d-aa91-4f81-9abe-f3234573e395	8a395eef-a9cc-4f21-b8d2-aefa292077cf.FPKM-UQ.txt.gz	4bb22daffa2acb8813cf3092d3d6d9e2	536452	live
10de7139-ce79-4f6d-a683-abbf28a9947f	1142d18f-9cd9-41b4-a9f2-975730cb713a.FPKM.txt.gz	a5e42cf1cef2036948961b2b23fcebe8	543113	live
11db7eac-6ce0-4ffe-bcd2-ef078dc4561f	2b421eac-4980-4b9c-bddd-ad0818ec15e6.FPKM.txt.gz	2fae912d87968161cffd40fefee3ea4f	520365	live
1264bc83-fc4b-4429-b492-2226dc7d5caf	8cb39efc-4bfb-49df-bc48-159d9211bc5a.FPKM-UQ.txt.gz	3bbae69ce9d50c2f905dddd3f5a63446	545057	live
12a3b7dd-e09e-453d-9289-73b42b31b657	1ede5c59-96ae-486b-ae1f-5f7c7909cf6a.FPKM.txt.gz	d0c66f1c89bf3066fbd9d3d3246a2bb3	548798	live
12ae64a6-0cc4-4d24-94cd-388e30bed5eb	d50c9013-3aee-4b1f-be93-225e568da7c3.FPKM.txt.gz	5a36fa40b5a930828ae5b4f68bc0a754	534539	live
12ebd6e9-1351-44bb-919a-e2dc5d287171	1ed5fd9b-a682-4e81-bda1-7ed085f4355d.FPKM-UQ.txt.gz	7120fbaf82b5e0d0d511590cb7eec13f	506287	live
